Município;População;Frota Total;Frota Ativa;Acidentes;Veículos Envolvidos;Feridos e Ilesos;Óbitos
Antônio Gonçalves;11123;2194;1674;54;73;76;7
Antônio João;9408;4898;3338;150;182;194;11
Antônio Martins;7153;2211;1619;10;11;0;7
Antônio Olinto;7323;4906;3042;76;104;126;5
Antônio Prado;12937;11822;7335;19;39;34;24
Antônio Prado de Minas;1528;916;636;17;20;25;0
Aparecida;44635;25521;17146;848;735;728;55
Aparecida d'Oeste;4011;3611;1993;92;87;106;2
Aparecida de Goiânia;633122;365344;274377;42265;60821;55423;338
Aparecida do Rio Doce;2448;1721;1252;206;301;282;1
Aparecida do Rio Negro;4946;1914;1391;47;67;80;4
Aparecida do Taboado;27047;19036;13102;708;990;928;11
Aperibé;12430;7233;5147;66;74;71;5
Apiacá;7312;5380;4221;245;242;358;5
Apiacás;10746;5454;3895;43;57;56;5
Apiaí;23619;14227;9362;536;438;536;25
Apicum-Açu;17480;1383;936;11;11;7;4
Apiúna;11044;7445;4917;642;863;966;24
Apodi;35838;18479;14330;62;88;48;32
Aporá;17847;3303;2078;7;7;8;0
Aporé;4326;2295;1510;186;253;234;2
Apuarema;7312;1276;915;10;15;15;1
Apucarana;139817;98481;63722;5470;8891;11244;48
Apuí;23351;5591;3908;7;5;5;1
Apuiarés;14723;4826;3286;8;13;11;6
Aquidabã;21875;6679;4610;4;6;2;4
Aquidauana;48529;23407;16429;1412;2287;2204;13
Aquiraz;82806;29505;23984;705;1256;1353;48
Arabutã;4263;3700;2580;290;383;439;1
Araçagi;16797;5783;4242;33;43;22;14
Araçaí;2351;787;503;57;61;90;0
Aracaju;683110;340402;254773;3619;5681;5300;69
Araçariguama;24538;13956;9458;664;688;691;57
Araçás;11986;2617;1831;55;83;91;7
Aracati;76292;27676;21495;261;442;484;25
Aracatu;12393;3725;2428;49;68;67;9
Araçatuba;201391;186475;124423;8279;8593;8805;146
Araci;54186;11414;7254;431;519;547;53
Aracitaba;2023;715;492;25;31;43;0
Aracoiaba;26762;7704;5911;114;195;232;23
Araçoiaba;26762;7704;5911;114;195;232;23
Araçoiaba da Serra;36887;26351;17623;613;576;485;43
Aracruz;108149;54467;42790;6476;6645;8843;88
Araçu;3295;2475;1608;108;133;140;3
Araçuaí;36326;15974;12461;1717;2118;2788;27
Aragarças;20675;16767;10535;670;943;927;20
Aragoiânia;11157;6077;4230;609;753;850;14
Aragominas;5619;1287;977;40;67;66;11
Araguacema;7314;1636;1179;54;84;88;5
Araguaçu;8273;4892;3346;152;246;290;6
Araguaiana;3099;1252;1017;14;29;24;7
Araguaína;191288;144491;114370;3945;7546;7839;95
Araguainha;919;251;205;1;1;1;0
Araguanã;21790;3082;2367;27;51;42;7
Araguapaz;7750;4509;3282;333;455;456;16
Araguari;118704;95025;62293;9045;13796;18427;48
Araguatins;37228;14152;10070;589;1032;1098;28
Araioses;47309;2014;1139;28;29;12;17
Aral Moreira;12884;3880;2704;131;168;116;11
Aramari;11367;1741;1330;43;58;75;1
Arambaré;3600;2457;1471;1;1;0;1
Arame;33060;6645;4560;77;80;64;12
Aramina;5757;3535;2181;87;102;87;11
Arandu;6373;3435;2173;72;59;66;9
Arantina;2725;1472;893;50;66;85;0
Arapeí;2434;1257;598;7;6;4;1
Arapiraca;233892;137084;103197;1785;3351;3136;343
Arapoema;6506;2966;1965;47;84;78;7
Araponga;8415;4564;3254;182;193;275;2
Arapongas;130710;100803;68039;6481;10967;12745;73
Araporã;7099;4466;2841;440;723;754;4
Arapoti;28754;18108;11866;725;1348;1408;35
Arapuá;2807;2113;1498;120;164;232;2
Arapuã;2807;2113;1498;120;164;232;2
Araputanga;17394;12035;8624;53;64;58;10
Araquari;42190;25845;20423;3490;4645;5276;58
Arara;13590;2617;1764;13;14;2;12
Araranguá;70019;65761;49874;4990;6961;7984;40
Araraquara;245549;200098;132728;6526;6441;6182;210
Araras;139533;113095;73685;4484;3438;3326;101
Ararendá;11062;3943;2765;25;33;20;18
Arari;30215;7782;5375;84;86;72;12
Araricá;5884;4941;3362;11;20;16;13
Araripe;21870;7631;5227;39;52;41;23
Araripina;85689;36741;23726;957;1074;913;168
Araruama;141031;76303;48693;1234;1553;1446;139
Araruna;141031;76303;48693;1234;1553;1446;139
Arataca;10470;1421;1020;91;152;203;17
Aratiba;6186;5180;3239;6;10;10;7
Aratuba;12194;3767;3120;27;40;45;5
Aratuípe;8587;1748;1310;36;56;50;9
Arauá;9945;2992;2123;6;6;3;3
Araucária;156985;104637;73546;6648;10741;14428;67
Araújos;9792;5278;3888;392;553;591;3
Araxá;113325;80544;57167;8811;13083;15282;46
Arceburgo;9759;6019;3873;397;564;757;9
Arco-Íris;1928;1151;755;23;18;22;1
Arcos;41753;34908;24184;2725;4496;5125;50
Arcoverde;75696;32674;23587;619;683;612;78
Areado;14346;9029;5495;582;820;1127;21
Areal;12382;7731;5506;39;39;34;6
Arealva;8351;5466;3457;167;160;153;15
Areia;22435;6965;4779;27;31;10;23
Areia Branca;47064;15081;11265;37;44;16;27
Areia de Baraúnas;2103;360;275;1;1;2;0
Areial;7097;1678;1239;12;16;10;7
Areias;3657;1899;1152;37;34;14;4
Areiópolis;10382;6254;3944;83;74;59;4
Arenápolis;10382;6254;3944;83;74;59;4
Arenópolis;2594;1440;1095;124;166;157;6
Arês;14539;3267;2455;38;67;61;13
Argirita;14539;3259;2446;38;67;61;13
Aricanduva;5359;1908;1545;115;121;196;0
Arinos;17618;7560;5005;644;786;1159;15
Aripuanã;23954;15561;11504;45;66;55;20
Ariquemes;112793;89132;65911;4873;7662;8965;177
Ariranha;10056;6466;3952;111;93;96;12
Ariranha do Ivaí;1878;1601;1006;28;34;43;4
Armação dos Búzios;34477;23389;16559;147;204;189;13
Armazém;8915;8727;6256;496;662;736;15
Arneiroz;7889;2224;1623;6;12;8;5
Aroazes;5864;1315;1002;49;50;50;4
Aroeiras;19054;3413;2521;19;20;6;16
Aroeiras do Itaim;2572;807;702;26;26;27;2
Arraial;4739;918;718;28;31;25;5
Arraial do Cabo;31651;14243;10059;164;212;195;23
Arraias;10381;2679;1951;234;413;483;16
Arroio do Meio;21368;19237;13712;23;43;24;27
Arroio do Padre;2927;2276;1443;4;6;4;4
Arroio do Sal;10799;6272;4158;6;10;12;7
Arroio do Tigre;13452;8721;5397;7;8;8;8
Arroio dos Ratos;14165;9011;5232;7;12;10;7
Arroio Grande;18151;13198;7685;8;12;7;9
Arroio Trinta;3542;3637;2688;206;267;316;1
Artur Nogueira;58450;44441;28535;953;817;768;53
Aruanã;10971;3861;2854;687;808;799;11
Arujá;95563;64234;40970;2139;1863;2213;81
Arvoredo;2219;1794;1317;167;198;224;2
Arvorezinha;10345;9484;5275;13;23;22;14
Ascurra;8049;7345;4750;415;542;626;11
Aspásia;1800;1327;839;29;24;30;1
Assaí;14131;12221;6949;209;324;434;6
Assaré;23657;7409;5881;43;59;56;27
Assis;107209;88719;58221;3407;3568;4147;77
Assis Brasil;7932;2272;1852;14;14;15;0
Assis Chateaubriand;32864;31112;20033;1172;1894;2401;32
Assunção;4138;733;580;5;5;0;5
Assunção do Piauí;7934;783;585;62;67;66;5
Astolfo Dutra;14468;7681;5402;297;436;522;7
Astorga;26331;20494;13019;597;929;1202;21
Atalaia;51147;12196;8892;110;153;140;50
Atalaia do Norte;0;0;0;0;0;0;0
Atalanta;3160;3099;2049;223;291;338;0
Ataléia;11806;3702;2723;298;322;419;7
Atibaia;148293;135171;93039;3312;3063;2918;154
Atílio Vivacqua;12484;6584;4605;410;270;445;14
Augustinópolis;19249;8153;6021;288;512;537;22
Augusto Corrêa;47539;4344;3002;199;322;204;26
Augusto de Lima;4726;1601;1046;340;516;587;23
Augusto Pestana;6545;6706;3922;9;12;5;9
Áurea;3517;2908;1635;6;7;3;10
Aurelino Leal;10186;1874;1319;54;90;107;13
Auriflama;15430;12391;7568;239;226;241;9
Aurilândia;2768;1777;1229;128;151;198;0
Aurora;30326;13121;10255;584;774;916;18
Aurora do Pará;32596;3462;2589;154;246;164;40
Aurora do Tocantins;3831;940;660;29;36;43;4
Autazes;42052;2881;1716;4;3;5;0
Avaí;5533;2497;1442;111;95;99;14
Avanhandava;14554;6828;4166;178;158;154;13
Avaré;92962;72992;48412;2215;2276;2789;93
Aveiro;16472;316;130;18;26;18;0
Avelino Lopes;11250;2180;1546;38;39;35;4
Avelinópolis;2348;1586;1094;70;93;96;1
Axixá;12307;2629;1993;19;19;9;10
Axixá do Tocantins;9829;3448;2455;146;239;253;15
Babaçulândia;10615;2278;1655;58;96;99;14
Bacabal;105653;46024;32681;54;54;29;22
Bacabeira;17487;3922;3371;67;70;44;23
Bacuri;19199;1347;888;29;30;21;6
Bacurituba;5729;853;537;8;8;6;1
Bady Bassitt;18617;18131;12852;567;573;621;21
Baependi;19190;12226;8062;500;678;890;5
Bagé;121132;80215;49698;56;82;61;61
Bagre;32405;295;144;11;17;13;0
Baía da Traição;9201;1964;1362;14;21;13;4
Baía Formosa;9376;2059;1486;26;44;40;3
Baianópolis;13733;3144;2183;23;47;41;2
Baião;;;;;;;
Baixa Grande;18443;4329;2419;42;50;45;18
Baixa Grande do Ribeiro;13090;4685;3756;131;162;159;7
Baixio;6329;1653;1045;7;12;11;1
Baixo Guandu;30575;25362;20153;2161;2365;2947;38
Balbinos;6600;903;591;14;8;7;3
Baldim;7626;3936;2350;270;332;444;4
Baliza;5809;512;357;85;109;105;1
Balneário Arroio do Silva;14113;9643;7408;769;1008;1224;3
Balneário Barra do Sul;11489;6792;5155;653;862;1083;12
Balneário Camboriú;152435;101524;81292;18734;24965;29203;60
Balneário Gaivota;11795;11091;8446;868;1181;1416;3
Balneário Piçarras;24960;19068;15225;2190;2920;3388;19
Balneário Pinhal;15143;5505;3159;9;14;10;9
Balneário Rincão;13294;8197;6857;1075;1475;1696;8
Balsa Nova;13562;9716;6262;310;475;668;7
Bálsamo;9362;7492;4912;167;148;159;10
Balsas;97208;70474;57507;444;463;315;116
Bambuí;23906;16784;10566;1091;1574;1910;17
Banabuiú;18455;5129;3628;21;34;37;9
Bananal;11124;5125;2887;64;45;39;6
Bananeiras;21316;6545;4702;46;50;16;38
Bandeira;4601;1079;865;97;98;143;0
Bandeira do Sul;5838;3686;1959;183;255;371;5
Bandeirante;2592;2395;1605;87;118;157;1
Bandeirantes;37819;28891;17645;799;1254;1617;12
Bandeirantes do Tocantins;3694;1156;922;30;54;57;5
Bannach;3258;942;592;27;33;25;0
Banzaê;13252;2058;1251;27;52;39;10
Barão;0;0;0;0;0;0;0
Barão de Antonina;3585;1705;1129;23;17;17;4
Barão de Cocais;33804;18908;13192;2026;2978;3449;17
Barão de Cotegipe;6559;5392;3480;8;14;41;8
Barão de Grajaú;19127;3060;2589;56;57;54;3
Barão de Melgaço;8269;1043;822;8;8;9;2
Barão de Monte Alto;4859;1917;1400;45;64;87;3
Barão do Triunfo;7555;4399;2828;4;5;2;4
Baraúna;2020;372;287;2;2;2;1
Barbacena;129390;76304;51346;7522;11636;14590;58
Barbalha;72679;26798;21682;228;391;417;45
Barbosa;7675;3730;2165;81;98;81;12
Barbosa Ferraz;10733;7642;4359;170;230;338;11
Barcarena;131210;37541;29569;1506;2587;1630;98
Barcelona;3981;885;579;4;4;0;3
Barcelos;0;0;0;0;0;0;0
Bariri;36478;27410;17137;942;619;794;24
Barra;11489;6792;5155;653;862;1083;12
Barra Bonita;37567;32465;20122;793;743;714;18
Barra D'Alcântara;3970;1142;940;40;41;38;3
Barra da Estiva;19143;10027;6478;27;34;40;4
Barra de Guabiraba;14730;2487;1681;63;67;58;9
Barra de Santa Rosa;15650;3025;2071;18;19;0;18
Barra de Santana;8345;1608;1184;6;6;1;3
Barra de Santo Antônio;16213;3163;2588;50;85;86;11
Barra de São Francisco;45185;28997;23200;2329;2440;2946;59
Barra de São Miguel;14597;3591;2946;84;136;132;16
Barra do Bugres;31796;20507;15397;251;311;301;51
Barra do Chapéu;5376;3016;2075;26;25;16;4
Barra do Choça;33417;7550;5306;112;145;163;13
Barra do Corda;89370;37289;28118;514;534;443;70
Barra do Garças;68851;59083;46714;1574;1972;1933;34
Barra do Guarita;3265;1408;961;3;4;4;3
Barra do Jacaré;2752;1880;1135;234;360;482;1
Barra do Mendes;13380;2625;1614;26;42;30;12
Barra do Ouro;4713;944;736;13;21;19;3
Barra do Piraí;103202;41000;24169;364;471;410;68
Barra do Quaraí;4237;2431;1351;2;2;0;2
Barra do Ribeiro;13682;7696;4638;22;48;25;26
Barra do Rio Azul;1582;1205;809;1;1;0;1
Barra do Rocha;5395;920;682;10;17;26;3
Barra do Turvo;7511;2286;1502;398;727;741;42
Barra dos Coqueiros;32219;11914;10284;126;173;144;7
Barra Funda;2571;2320;1585;6;10;6;6
Barra Longa;5142;2621;1899;185;237;295;3
Barra Mansa;176768;85551;58252;454;539;465;84
Barra Velha;43143;30007;23799;4369;5941;5895;36
Barracão;14692;14612;7904;48;76;84;15
Barras;48270;14943;9307;550;572;591;41
Barreira;23760;8474;6287;26;40;42;10
Barreiras;158355;99715;75717;1381;2077;2429;126
Barreiras do Piauí;3391;411;316;13;12;15;1
Barreirinha;31542;559;92;1;0;1;0
Barreirinhas;64060;10842;6743;112;116;74;40
Barreiros;42986;11217;8493;302;327;305;26
Barretos;125013;107518;69730;3866;3836;4364;116
Barrinha;34368;18659;12204;314;283;322;15
Barro;23036;5900;4361;10;15;13;11
Barro Alto;27374;9342;6681;609;855;800;18
Barro Duro;7081;2986;2435;53;50;56;8
Barro Preto;4830;838;623;22;27;33;1
Barrocas;0;0;0;0;0;0;0
Barrolândia;5675;2270;1654;38;70;73;6
Barroquinha;15164;3657;2521;19;31;30;7
Barros Cassal;11060;7026;3751;11;16;13;12
Barroso;21008;12135;7894;552;805;964;10
Barueri;285948;218253;159915;7118;5696;5028;206
Bastos;20879;18737;12313;410;380;398;23
Bataguassu;24243;15567;10669;480;704;682;7
Batalha;45395;10234;7442;210;228;210;46
Batatais;64434;47573;30355;1123;1241;1143;74
Batayporã;11433;7013;4987;266;334;315;6
Baturité;36483;12669;10124;111;179;203;20
Bauru;386779;302785;202092;11541;10346;11183;244
Bayeux;97700;35614;27263;163;246;227;51
Bebedouro;77500;72107;47172;2713;2829;2973;85
Beberibe;54848;16719;12230;404;597;680;69
Bela Cruz;32994;9155;6044;26;41;33;23
Bela Vista;1901;1746;1184;110;143;151;0
Bela Vista da Caroba;3205;2853;1785;35;48;72;0
Bela Vista de Goiás;32296;22125;15555;1674;2124;2179;41
Bela Vista de Minas;10178;4960;3058;387;542;587;11
Bela Vista do Maranhão;11403;3118;2648;14;14;11;3
Bela Vista do Paraíso;15246;13034;7667;456;716;994;25
Bela Vista do Piauí;4095;997;736;14;17;26;1
Bela Vista do Toldo;6402;4386;3245;139;169;201;6
Belágua;7616;513;286;7;7;5;1
Belém;1557869;528769;400268;48373;90953;48507;609
Belém de Maria;12215;2391;1552;76;81;74;7
Belém do Brejo do Cruz;7355;1311;939;2;2;0;2
Belém do Piauí;3647;701;602;15;14;11;5
Belém do São Francisco;20756;5253;3488;143;161;140;21
Belford Roxo;526098;136253;89794;1846;1993;1944;115
Belmiro Braga;3374;1323;679;70;82;125;4
